old_product_code,historical_period,total_monthly_sales,market_region
ART-1197-MID-XS,2024-01,2447,Asia
ART-1368-CLA-S,2024-04,4160,Asia
ART-1367-CLA-XL,2024-11,3306,Asia
ART-1459-CLA-XS,2023-12,1675,North America
ART-1472-MID-L,2023-11,3656,North America
ART-1374-NAV-M,2024-02,4574,North America
ART-1230-CLA-L,2024-09,4059,Europe
ART-1045-CLA-XS,2024-12,4554,Asia
ART-1185-MID-M,2024-09,3456,North America
ART-1167-NAV-S,2024-06,1800,Asia
ART-1248-NAV-L,2024-09,4767,Europe
ART-1228-CLA-L,2024-09,4912,Asia
ART-1442-MID-M,2024-04,3101,Asia
ART-1328-NAV-L,2024-12,4403,Europe
ART-1479-MID-S,2024-08,2296,Asia
ART-1051-CLA-M,2023-12,1057,Asia
ART-1072-CLA-S,2023-12,3242,Europe
ART-1193-NAV-XS,2024-11,2325,Europe
ART-1003-MID-L,2023-11,4600,Asia
ART-1309-MID-L,2023-11,4173,North America
ART-1384-CLA-XL,2024-07,4574,Asia
ART-1104-CLA-L,2023-06,2735,Europe
ART-1310-MID-S,2024-02,4384,Europe
ART-1088-NAV-S,2023-06,1357,North America
ART-1382-MID-XS,2023-12,3482,Asia
ART-1462-CLA-XS,2023-05,3338,Asia
ART-1102-NAV-S,2023-07,3214,Asia
ART-1384-NAV-L,2024-03,4556,Asia
ART-1209-CLA-L,2023-05,4298,Asia
ART-1200-CLA-XL,2024-03,1022,Asia
ART-1279-CLA-XS,2024-09,1214,North America
ART-1373-NAV-M,2023-11,2056,North America
ART-1065-MID-XL,2024-11,2108,Europe
ART-1024-MID-M,2023-08,3414,Asia
ART-1314-CLA-XS,2025-01,1270,Asia
ART-1239-CLA-XS,2023-12,3083,Europe
ART-1188-MID-S,2023-07,3232,North America
ART-1311-NAV-XS,2023-07,2638,North America
ART-1377-NAV-L,2023-10,3060,North America
ART-1457-MID-XS,2024-09,4453,Asia
ART-1426-NAV-XS,2024-04,2810,North America
ART-1300-CLA-L,2025-01,4350,Europe
ART-1222-OLI-M,2024-02,4412,North America
ART-1314-NAV-L,2023-06,3260,Europe
ART-1040-MID-L,2023-10,4827,Europe
ART-1393-OLI-XL,2025-01,1892,Asia
ART-1208-MID-XL,2023-12,4781,North America
ART-1324-OLI-XS,2025-02,2969,Asia
ART-1407-MID-XL,2025-01,4788,North America
ART-1356-OLI-M,2024-01,4171,North America
ART-1174-CLA-L,2024-09,1953,North America
ART-1356-MID-L,2024-05,1128,Asia
ART-1147-NAV-S,2023-10,4426,North America
ART-1126-NAV-L,2024-10,2632,Asia
ART-1098-MID-L,2023-12,1588,Asia
ART-1384-NAV-S,2023-11,1256,Asia
ART-1165-OLI-M,2024-07,4056,Europe
ART-1269-OLI-M,2024-08,2532,North America
ART-1321-OLI-XS,2024-01,2160,Europe
ART-1469-NAV-M,2023-12,2614,North America
ART-1356-OLI-L,2023-07,1729,Europe
ART-1215-CLA-L,2023-12,4081,Asia
ART-1229-MID-S,2023-06,2943,Asia
ART-1292-OLI-M,2024-09,2512,Europe
ART-1291-NAV-M,2024-11,4431,Europe
ART-1017-CLA-XL,2023-06,1082,Europe
ART-1417-OLI-M,2024-11,4887,Asia
ART-1294-CLA-L,2024-08,1955,North America
ART-1047-CLA-L,2024-04,3049,North America
ART-1489-CLA-L,2025-01,4489,North America
ART-1242-OLI-XS,2023-09,1067,Europe
ART-1126-MID-XL,2025-01,1514,North America
ART-1441-OLI-M,2024-12,2073,Asia
ART-1236-CLA-S,2024-12,3478,Europe
ART-1464-MID-XS,2023-11,4897,Asia
ART-1343-MID-L,2024-05,3734,Asia
ART-1340-NAV-XS,2024-04,3442,North America
ART-1494-MID-M,2024-05,2338,Europe
ART-1444-OLI-L,2024-09,2648,Europe
ART-1268-CLA-XS,2023-10,4429,North America
ART-1377-OLI-M,2024-10,1116,North America
ART-1300-OLI-XS,2024-07,2079,Europe
ART-1077-OLI-XS,2023-10,1113,Europe
ART-1214-CLA-XL,2023-11,4103,Europe
ART-1326-CLA-L,2023-08,3959,Europe
ART-1054-OLI-L,2024-02,3657,Asia
ART-1459-CLA-XL,2023-10,1652,North America
ART-1054-NAV-S,2023-11,4802,North America
ART-1155-NAV-XL,2023-09,2828,North America
ART-1499-MID-S,2024-03,4113,Asia
ART-1221-OLI-XS,2024-01,1810,Asia
ART-1077-MID-S,2024-10,4820,Asia
ART-1374-CLA-XL,2024-08,2480,North America
ART-1111-CLA-XL,2025-01,4200,North America
ART-1197-OLI-XS,2023-11,3486,Asia
ART-1018-MID-XS,2023-10,3185,North America
ART-1055-NAV-L,2024-07,2550,Europe
ART-1067-CLA-S,2023-12,3085,North America
ART-1162-MID-M,2023-06,2003,North America
ART-1275-NAV-S,2024-03,4881,North America
ART-1225-MID-XS,2023-06,3555,North America
ART-1399-NAV-XL,2024-01,1033,North America
ART-1494-OLI-L,2024-01,3596,North America
ART-1206-CLA-XS,2024-08,4202,Asia
ART-1337-CLA-M,2023-12,1544,Asia
ART-1121-MID-L,2023-06,1278,Asia
ART-1496-CLA-XS,2024-03,2651,Asia
ART-1162-NAV-XS,2024-01,3529,Europe
ART-1061-NAV-S,2025-01,4135,North America
ART-1143-NAV-S,2023-11,3847,Europe
ART-1081-NAV-M,2023-07,1030,Europe
ART-1054-CLA-XL,2024-03,3275,Europe
ART-1213-CLA-L,2023-06,4880,North America
ART-1315-OLI-S,2024-05,2328,North America
ART-1202-OLI-L,2023-10,2335,North America
ART-1270-CLA-S,2024-03,4689,Asia
ART-1408-NAV-XS,2024-01,2484,Europe
ART-1376-CLA-XL,2024-05,3757,Europe
ART-1003-MID-L,2024-04,2622,North America
ART-1175-NAV-XS,2024-02,1348,Europe
ART-1183-CLA-L,2023-09,2076,Europe
ART-1443-CLA-XL,2023-09,3438,Asia
ART-1351-OLI-XL,2023-08,3133,Europe
ART-1005-CLA-M,2023-07,1927,Asia
ART-1100-NAV-XS,2023-07,2794,North America
ART-1206-CLA-M,2024-01,1109,Asia
ART-1298-OLI-M,2024-04,4746,North America
ART-1315-CLA-L,2024-12,2528,Asia
ART-1076-MID-XS,2023-10,3112,Asia
ART-1023-CLA-XL,2023-12,4871,Europe
ART-1003-NAV-XL,2023-07,1113,Asia
ART-1005-CLA-S,2023-07,4769,Europe
ART-1037-NAV-L,2024-11,3227,North America
ART-1173-MID-XL,2025-02,2003,Asia
ART-1392-OLI-XS,2024-03,2847,Asia
ART-1163-NAV-XS,2024-03,1395,Asia
ART-1013-MID-S,2023-05,3925,Asia
ART-1399-CLA-M,2025-01,4904,Asia
ART-1040-NAV-M,2024-03,4223,North America
ART-1491-MID-XL,2024-05,3838,North America
ART-1341-MID-XS,2023-09,3446,North America
ART-1275-NAV-L,2023-12,4693,North America
ART-1045-MID-XL,2024-03,4639,Europe
ART-1033-OLI-XL,2023-05,1234,Europe
ART-1331-OLI-XS,2024-10,3403,Europe
ART-1196-CLA-XS,2024-04,2120,Europe
ART-1049-CLA-XS,2024-07,2292,North America
ART-1272-MID-S,2023-05,1864,Asia
ART-1421-MID-M,2023-11,4867,Asia
ART-1121-MID-L,2024-08,1648,Europe
ART-1339-OLI-XL,2024-12,4506,Asia
ART-1473-NAV-M,2024-08,3882,Europe
ART-1166-NAV-S,2024-08,1428,Asia
ART-1057-MID-S,2023-08,3211,Asia
ART-1250-NAV-XL,2024-06,4027,Europe
ART-1256-OLI-XS,2023-10,4575,Asia
ART-1314-OLI-L,2024-04,3867,Europe
ART-1233-NAV-XS,2024-08,3252,Europe
ART-1379-MID-S,2023-05,2186,Asia
ART-1364-MID-L,2023-06,4029,Europe
ART-1456-CLA-L,2023-08,3509,North America
ART-1040-NAV-XS,2023-09,1905,Europe
ART-1176-OLI-XL,2024-07,1686,Asia
ART-1167-MID-L,2024-09,1121,Asia
ART-1378-CLA-XL,2023-09,2058,Europe
ART-1096-NAV-XL,2023-10,1344,North America
ART-1110-CLA-L,2023-10,3017,North America
ART-1384-OLI-S,2024-05,4422,North America
ART-1117-OLI-M,2023-08,4305,Europe
ART-1230-MID-S,2024-03,3576,Europe
ART-1152-OLI-M,2025-01,3895,Asia
ART-1133-MID-S,2024-03,2456,Europe
ART-1464-MID-S,2024-05,1437,North America
ART-1334-MID-S,2023-07,1165,Europe
ART-1104-NAV-L,2024-12,4134,Asia
ART-1474-NAV-L,2024-02,1271,North America
ART-1442-OLI-M,2023-10,3227,North America
ART-1047-OLI-XS,2024-10,1606,Europe
ART-1487-MID-S,2023-10,3967,North America
ART-1482-NAV-L,2023-12,2234,Europe
ART-1081-OLI-XL,2025-02,4908,Asia
ART-1435-CLA-L,2024-01,4310,North America
ART-1236-OLI-M,2023-05,2915,Europe
ART-1117-MID-XS,2024-03,4865,North America
ART-1242-CLA-S,2024-06,3125,Asia
ART-1297-OLI-M,2024-08,3261,North America
ART-1180-OLI-XS,2023-12,4207,North America
ART-1025-NAV-L,2024-10,4095,North America
ART-1055-NAV-S,2024-05,2685,Asia
ART-1090-MID-XL,2023-10,1446,Europe
ART-1016-MID-M,2024-04,1591,Asia
ART-1058-OLI-XS,2023-09,1321,North America
ART-1154-OLI-M,2024-03,1839,Asia
ART-1433-CLA-XS,2023-10,3785,Europe
ART-1121-CLA-L,2024-07,3207,Europe
ART-1249-NAV-XS,2024-07,3601,North America
ART-1096-MID-S,2023-07,1537,North America
ART-1462-NAV-M,2024-11,1688,Europe
ART-1122-OLI-L,2024-07,4168,Asia
ART-1007-MID-S,2023-06,2313,Asia
ART-1151-MID-L,2024-08,3087,Asia
ART-1002-NAV-M,2025-02,4149,Europe
ART-1057-OLI-XS,2024-07,2430,Asia
ART-1194-OLI-M,2024-11,4884,Europe
ART-1361-CLA-XL,2023-05,3981,North America
ART-1218-OLI-XL,2024-11,4353,Asia
ART-1155-OLI-S,2023-10,1234,North America
ART-1460-OLI-M,2024-07,2845,North America
ART-1292-OLI-S,2023-05,1851,Asia
ART-1318-NAV-L,2024-07,1902,Europe
ART-1194-OLI-M,2023-11,4072,North America
ART-1129-CLA-L,2024-01,2319,North America
ART-1247-CLA-S,2023-11,3476,Europe
ART-1399-OLI-S,2024-02,1260,North America
ART-1120-OLI-M,2023-05,1531,Asia
ART-1306-OLI-L,2023-05,1143,Europe
ART-1201-OLI-XL,2024-12,1877,Asia
ART-1325-NAV-XS,2024-02,4165,Europe
ART-1256-CLA-L,2023-08,4647,Europe
ART-1499-MID-M,2023-06,1255,Europe
ART-1164-NAV-S,2023-09,1977,Europe
ART-1427-CLA-S,2024-07,4489,North America
ART-1300-CLA-M,2023-05,1235,Asia
ART-1408-OLI-L,2023-05,2589,North America
ART-1227-CLA-XS,2024-09,3744,Europe
ART-1320-OLI-M,2024-11,3398,North America
ART-1363-NAV-S,2023-10,1956,Europe
ART-1447-OLI-XL,2024-09,3389,North America
ART-1317-CLA-XS,2023-09,3425,Asia
ART-1079-CLA-L,2024-10,3239,Asia
ART-1219-OLI-XS,2024-10,4545,Asia
ART-1008-OLI-S,2023-08,2321,North America
ART-1304-NAV-S,2023-06,2591,North America
ART-1444-MID-XL,2024-04,2502,North America
ART-1163-OLI-M,2023-12,1422,Asia
ART-1482-OLI-XS,2024-10,3617,Asia
ART-1428-OLI-XL,2023-06,3621,Asia
ART-1010-CLA-L,2024-11,1958,North America
ART-1366-CLA-XS,2024-01,3752,Asia
ART-1276-OLI-M,2024-04,1838,Asia
ART-1024-NAV-XL,2023-08,3292,Asia
ART-1437-OLI-S,2024-05,4300,North America
ART-1438-CLA-XL,2024-12,2668,North America
ART-1476-CLA-S,2023-07,3745,Europe
ART-1214-OLI-XL,2023-10,4433,Europe
ART-1008-MID-L,2024-03,4759,Asia
ART-1466-NAV-S,2024-12,1207,Europe
ART-1495-MID-M,2023-11,1799,Europe
ART-1300-NAV-XS,2023-11,2953,Europe
ART-1001-MID-S,2023-06,3691,North America
ART-1376-OLI-L,2024-12,4534,North America
ART-1376-MID-XL,2023-09,1095,Europe
ART-1103-OLI-L,2024-09,3466,North America
ART-1443-CLA-S,2023-11,4287,Asia
ART-1301-NAV-XS,2024-06,4440,Asia
ART-1404-OLI-S,2023-11,2342,Europe
ART-1160-NAV-L,2024-06,2151,Europe
ART-1465-NAV-S,2024-02,1766,Europe
ART-1385-CLA-XS,2023-05,2527,North America
ART-1392-CLA-XL,2025-01,1056,North America
ART-1471-NAV-M,2024-01,1922,Europe
ART-1414-OLI-XL,2024-09,1834,Europe
ART-1216-MID-M,2024-06,2267,Asia
ART-1341-MID-XL,2023-07,1844,Asia
ART-1179-NAV-L,2024-10,4498,North America
ART-1363-OLI-XL,2024-01,4127,Europe
ART-1003-NAV-S,2023-06,3963,Asia
ART-1154-OLI-XL,2025-01,2847,Asia
ART-1058-CLA-M,2023-11,1410,North America
ART-1117-NAV-S,2024-10,3177,North America
ART-1382-MID-S,2024-07,2026,Asia
ART-1192-CLA-L,2024-08,3464,North America
ART-1110-OLI-S,2023-12,1208,Europe
ART-1041-CLA-XL,2023-12,3994,North America
ART-1278-OLI-S,2023-05,2375,Europe
ART-1342-CLA-XS,2024-11,2979,Europe
ART-1187-CLA-XS,2023-06,4942,Europe
ART-1181-CLA-L,2023-10,1921,Asia
ART-1490-OLI-S,2024-01,1064,North America
ART-1108-MID-XS,2024-12,2078,Asia
ART-1390-NAV-XL,2023-12,4319,Asia
ART-1274-NAV-M,2024-11,4113,North America
ART-1316-NAV-S,2023-07,2768,North America
ART-1135-OLI-XL,2023-07,1551,Asia
ART-1427-NAV-XS,2023-06,4194,Asia
ART-1195-MID-S,2025-01,4246,Europe
ART-1366-NAV-M,2023-06,1017,Europe
ART-1143-OLI-XL,2023-10,1029,Europe
ART-1079-NAV-S,2023-07,1316,North America
ART-1166-CLA-XL,2024-04,1390,Europe
ART-1397-MID-XL,2024-12,1033,Asia
ART-1309-MID-S,2023-06,3311,Europe
ART-1315-MID-L,2023-10,1976,Europe
ART-1129-MID-XL,2023-06,4042,North America
ART-1366-NAV-L,2024-04,3823,Asia
ART-1451-OLI-L,2024-07,1348,Asia
ART-1489-MID-XL,2024-02,4930,Asia
ART-1452-CLA-L,2024-08,1050,North America
ART-1292-OLI-L,2023-06,2156,Asia
ART-1262-NAV-S,2023-07,3889,Europe
ART-1143-NAV-L,2024-03,2787,Europe
ART-1231-NAV-XL,2023-05,4208,North America
ART-1065-CLA-XS,2023-10,1777,Europe
ART-1343-NAV-XL,2024-12,4358,Asia
ART-1314-CLA-S,2025-01,3051,Asia
ART-1449-NAV-L,2025-01,4238,Europe
ART-1298-CLA-XL,2023-08,2306,Asia
ART-1011-MID-XS,2024-03,2419,North America
ART-1054-OLI-S,2024-08,1619,Asia
ART-1052-CLA-S,2024-11,3814,Europe
ART-1005-MID-L,2025-01,4757,Asia
ART-1301-CLA-M,2024-06,3764,Asia
ART-1366-NAV-S,2025-02,4721,Asia
ART-1293-CLA-M,2024-05,2697,Asia
ART-1013-OLI-S,2023-08,2874,Asia
ART-1476-OLI-S,2024-11,2730,Asia
ART-1055-MID-M,2023-10,3154,Europe
ART-1343-OLI-M,2023-10,1347,North America
ART-1222-OLI-XL,2024-05,1997,Asia
ART-1213-OLI-S,2023-11,3073,Europe
ART-1384-MID-S,2024-03,4237,Europe
ART-1359-CLA-XL,2023-12,3622,North America
ART-1307-MID-S,2023-10,3703,Europe
ART-1226-CLA-XL,2024-12,4359,North America
ART-1035-NAV-XL,2024-10,2010,North America
ART-1299-NAV-XL,2024-04,2181,Europe
ART-1116-CLA-XL,2024-10,4991,Asia
ART-1288-NAV-L,2024-02,3250,Asia
ART-1341-NAV-S,2024-09,2072,Europe
ART-1481-MID-XS,2024-10,2633,Asia
ART-1320-MID-M,2024-08,2865,Europe
ART-1138-MID-XL,2023-10,1708,Europe
ART-1463-CLA-S,2024-11,3714,North America
ART-1028-NAV-M,2024-06,1994,Europe
ART-1135-OLI-XS,2024-11,3144,Europe
ART-1339-OLI-L,2023-09,1687,Asia
ART-1173-OLI-XL,2024-12,3225,Asia
ART-1349-MID-XL,2024-12,2950,North America
ART-1321-NAV-M,2023-05,2359,Europe
ART-1291-OLI-XL,2024-08,4959,Asia
ART-1427-OLI-XS,2024-02,4759,Europe
ART-1418-NAV-S,2024-03,1287,Europe
ART-1295-NAV-S,2024-12,1808,Asia
ART-1045-OLI-XL,2024-05,2265,North America
ART-1004-OLI-M,2024-07,2490,North America
ART-1099-NAV-M,2024-07,4122,Asia
ART-1261-CLA-L,2024-11,4299,Asia
ART-1371-MID-XS,2024-05,2983,North America
ART-1361-OLI-S,2024-10,4568,Asia
ART-1099-CLA-XL,2024-02,1039,Asia
ART-1415-MID-XL,2024-04,2761,North America
ART-1057-OLI-XS,2023-11,4481,North America
ART-1268-NAV-L,2023-09,1478,Europe
ART-1137-CLA-M,2023-11,2102,Asia
ART-1325-OLI-XS,2023-06,1974,Asia
ART-1188-OLI-XS,2023-09,4157,Europe
ART-1466-MID-M,2023-08,4752,Asia
ART-1246-OLI-S,2024-09,3960,Europe
ART-1493-NAV-M,2024-01,1071,Europe
ART-1458-MID-XL,2024-01,3500,Europe
ART-1239-MID-M,2023-10,2741,Europe
ART-1392-OLI-XL,2024-04,3520,North America
ART-1091-CLA-M,2023-09,1621,Europe
ART-1115-NAV-XS,2024-10,1459,Europe
ART-1403-NAV-M,2023-07,2953,Europe
ART-1139-CLA-M,2024-03,1128,North America
ART-1242-CLA-M,2024-04,3922,North America
ART-1338-OLI-M,2023-05,3836,Asia
ART-1210-NAV-XL,2024-11,4310,North America
ART-1005-NAV-XS,2024-04,1743,Asia
ART-1358-CLA-L,2024-04,4463,Europe
ART-1468-NAV-S,2024-11,4905,Asia
ART-1041-MID-L,2023-11,4492,Asia
ART-1152-OLI-S,2024-10,1331,Asia
ART-1400-NAV-L,2024-12,3606,Europe
ART-1119-OLI-M,2024-07,3567,Europe
ART-1124-OLI-S,2024-11,3396,Asia
ART-1321-NAV-XS,2024-07,2068,Asia
ART-1389-NAV-S,2024-01,2244,North America
ART-1216-OLI-M,2023-12,3663,Europe
ART-1322-OLI-XL,2024-10,2966,Europe
ART-1414-CLA-XS,2023-12,4904,Asia
ART-1320-CLA-M,2023-09,4029,North America
ART-1078-NAV-S,2025-01,4848,Asia
ART-1225-OLI-S,2024-08,2721,Asia
ART-1025-MID-L,2024-03,1474,Europe
ART-1182-NAV-S,2024-03,4351,Asia
ART-1351-OLI-XS,2024-03,1123,Europe
ART-1441-CLA-XS,2024-07,1926,Europe
ART-1073-NAV-XS,2023-08,2777,North America
ART-1453-CLA-M,2024-03,1952,Asia
ART-1416-CLA-S,2024-07,1829,Europe
ART-1055-MID-XS,2024-01,3577,Europe
ART-1303-OLI-XL,2024-10,3381,North America
ART-1158-OLI-S,2024-01,2042,Europe
ART-1396-NAV-XS,2025-02,4573,Europe
ART-1499-MID-L,2024-09,2907,Asia
ART-1219-OLI-S,2023-09,2782,North America
ART-1144-NAV-S,2023-06,4967,Asia
ART-1255-OLI-L,2024-07,3839,Asia
ART-1048-NAV-XS,2024-01,2187,Europe
ART-1221-OLI-XS,2023-09,3193,Europe
ART-1488-OLI-M,2023-11,3267,Asia
ART-1231-NAV-S,2024-05,1813,Asia
ART-1033-NAV-XL,2025-01,1696,North America
ART-1435-NAV-L,2023-12,2509,North America
ART-1478-CLA-L,2024-09,2718,Asia
ART-1248-CLA-S,2024-10,2590,North America
ART-1081-NAV-XL,2024-12,3580,Europe
ART-1320-OLI-XL,2024-06,4166,Europe
ART-1044-OLI-XS,2024-12,1650,Europe
ART-1393-OLI-M,2023-09,3918,Europe
ART-1216-CLA-S,2025-01,3534,Europe
ART-1428-NAV-M,2024-10,2481,Asia
ART-1045-CLA-XS,2023-07,1683,North America
ART-1045-MID-M,2023-06,3193,North America
ART-1120-NAV-XS,2024-12,3379,Asia
ART-1270-CLA-XS,2024-02,2487,Asia
ART-1120-CLA-S,2025-01,4805,Asia
ART-1242-NAV-XL,2024-04,4140,Europe
ART-1230-CLA-XS,2023-09,2682,North America
ART-1075-OLI-XL,2024-04,4966,Europe
ART-1348-CLA-S,2023-06,3544,Europe
ART-1457-NAV-M,2023-09,1569,Asia
ART-1017-MID-L,2024-03,1848,Europe
ART-1362-OLI-XL,2023-10,1965,North America
ART-1185-CLA-M,2024-08,3455,Asia
ART-1231-CLA-XL,2023-10,4726,Europe
ART-1430-NAV-S,2024-06,3141,Europe
ART-1086-OLI-M,2023-06,1058,Asia
ART-1499-OLI-XS,2024-05,2734,Europe
ART-1225-OLI-XL,2024-10,3555,Asia
ART-1172-OLI-M,2024-10,1411,Asia
ART-1120-CLA-XL,2024-06,4244,Asia
ART-1193-MID-XS,2023-11,2087,Europe
ART-1197-OLI-XS,2023-10,2837,Asia
ART-1429-MID-XS,2024-04,2819,Europe
ART-1024-CLA-L,2024-06,4983,Europe
ART-1162-OLI-XS,2023-06,3527,Asia
ART-1094-CLA-XS,2023-05,1304,Asia
ART-1193-CLA-L,2024-05,3121,Europe
ART-1074-NAV-M,2024-06,2812,Europe
ART-1499-MID-S,2024-04,2244,Europe
ART-1107-OLI-XS,2023-12,1681,Europe
ART-1380-OLI-XL,2024-01,4716,Europe
ART-1374-NAV-XL,2024-02,4362,Asia
ART-1134-MID-XL,2024-09,4327,Europe
ART-1176-MID-XS,2023-11,4481,North America
ART-1054-CLA-XS,2023-06,1237,North America
ART-1068-OLI-L,2025-02,4647,North America
ART-1083-CLA-M,2024-05,3004,Asia
ART-1424-NAV-M,2024-10,1096,Asia
ART-1460-NAV-L,2024-08,3397,North America
ART-1360-OLI-M,2024-12,4424,North America
ART-1146-CLA-XS,2024-07,1517,North America
ART-1158-OLI-S,2024-04,3744,Asia
ART-1065-MID-XL,2024-07,3133,North America
ART-1078-OLI-XS,2023-06,2217,North America
ART-1114-NAV-M,2023-09,2233,Europe
ART-1285-NAV-M,2025-01,2941,Asia
ART-1202-MID-L,2023-09,2280,North America
ART-1162-MID-M,2024-09,1360,North America
ART-1137-CLA-XS,2024-10,1095,Europe
ART-1474-NAV-L,2023-08,2242,Europe
ART-1452-OLI-XS,2025-01,1018,North America
ART-1298-MID-XS,2024-11,4310,North America
ART-1243-CLA-XS,2024-05,3959,Europe
ART-1312-OLI-M,2023-12,3198,Europe
ART-1277-CLA-S,2023-09,4783,Asia
ART-1288-MID-S,2024-05,4321,North America
ART-1193-MID-S,2023-08,3609,Asia
ART-1269-OLI-XS,2024-01,3990,Asia
ART-1003-OLI-XS,2023-06,2153,Europe
ART-1022-CLA-M,2024-07,4612,Europe
ART-1358-OLI-XS,2023-10,4491,Europe
ART-1065-MID-XL,2024-03,2624,Asia
ART-1297-OLI-M,2023-06,3715,Europe
ART-1210-NAV-XS,2023-06,3939,Asia
ART-1132-NAV-XS,2024-07,4214,Europe
ART-1281-OLI-XS,2024-05,1809,North America
ART-1027-MID-XL,2024-07,4485,Asia
ART-1387-NAV-XS,2024-12,3022,North America
ART-1200-OLI-XS,2024-02,4375,Europe
ART-1477-CLA-XS,2023-12,2256,Asia
ART-1027-CLA-XL,2024-07,3863,North America
ART-1112-MID-L,2024-06,3106,North America
ART-1488-MID-S,2024-07,1284,North America
ART-1028-NAV-L,2024-11,4514,Europe
ART-1305-CLA-M,2025-01,4534,North America
ART-1025-OLI-XL,2024-05,2059,Europe
ART-1359-CLA-S,2024-07,4320,Asia
ART-1076-CLA-L,2024-07,2873,Asia
ART-1080-CLA-S,2023-09,2137,Europe
ART-1330-NAV-XS,2023-10,1015,Europe
ART-1082-CLA-S,2023-09,1693,Europe
ART-1383-CLA-S,2024-11,2236,Europe
ART-1392-NAV-M,2024-06,2156,North America
ART-1070-MID-S,2024-05,3635,Europe
ART-1158-NAV-S,2024-01,3692,North America
ART-1257-MID-S,2023-06,3380,North America
ART-1317-OLI-L,2023-11,4706,Europe
ART-1315-MID-XS,2023-05,2420,Europe
ART-1160-MID-XS,2023-11,2304,Europe
ART-1223-CLA-L,2024-08,3608,North America
ART-1155-MID-XL,2025-01,3123,Europe
ART-1128-OLI-M,2024-01,2941,Asia
ART-1360-CLA-XL,2024-10,3274,Europe
ART-1354-NAV-L,2024-02,4300,North America
ART-1382-OLI-S,2024-05,4399,North America
ART-1213-NAV-XS,2023-10,4897,Asia
ART-1181-MID-XS,2023-07,4890,Europe
ART-1277-OLI-L,2023-06,1448,Asia
ART-1260-MID-XL,2024-10,4757,Asia
ART-1489-CLA-S,2024-08,4193,Asia
ART-1413-MID-M,2023-07,4874,Asia
ART-1357-MID-XL,2024-07,4733,Europe
ART-1370-NAV-L,2024-03,3566,Asia
ART-1169-CLA-XS,2023-05,4203,Asia
ART-1169-MID-S,2023-11,1432,Europe
ART-1181-MID-S,2025-01,4356,Asia
ART-1435-NAV-M,2024-03,4518,Europe
ART-1163-NAV-M,2023-09,3343,Europe
ART-1217-MID-S,2023-09,1599,North America
ART-1195-MID-XS,2023-08,3400,Asia
ART-1365-CLA-L,2023-05,4556,North America
ART-1350-NAV-L,2023-12,3126,North America
ART-1099-CLA-M,2025-02,1523,Europe
ART-1308-CLA-M,2023-11,3899,Asia
ART-1426-MID-S,2025-02,1689,Asia
