product_id,article_id,product_name,color,size,reorder_threshold,max_capacity,unit_cost
ART-1006-OLI-M,ART-1006,Summer Dress,Olive Green,M,190,1000,22.45
ART-1006-OLI-L,ART-1006,Summer Dress,Olive Green,L,195,1000,17.34
ART-1006-OLI-XL,ART-1006,Summer Dress,Olive Green,XL,142,1000,21.19
ART-1007-MID-XS,ART-1007,Oversized Hoodie,Midnight Black,XS,100,1000,13.79
ART-1007-MID-S,ART-1007,Oversized Hoodie,Midnight Black,S,195,1000,18.47
ART-1007-MID-M,ART-1007,Oversized Hoodie,Midnight Black,M,181,1000,32.22
ART-1007-MID-L,ART-1007,Oversized Hoodie,Midnight Black,L,198,1000,43.44
ART-1007-MID-XL,ART-1007,Oversized Hoodie,Midnight Black,XL,104,1000,27.26
ART-1007-CLA-XS,ART-1007,Oversized Hoodie,Classic White,XS,111,1000,41.0
ART-1007-CLA-S,ART-1007,Oversized Hoodie,Classic White,S,187,1000,32.68
ART-1007-CLA-M,ART-1007,Oversized Hoodie,Classic White,M,169,1000,42.89
ART-1007-CLA-L,ART-1007,Oversized Hoodie,Classic White,L,151,1000,25.1
ART-1007-CLA-XL,ART-1007,Oversized Hoodie,Classic White,XL,102,1000,21.64
ART-1007-NAV-XS,ART-1007,Oversized Hoodie,Navy Blue,XS,158,1000,14.21
ART-1007-NAV-S,ART-1007,Oversized Hoodie,Navy Blue,S,154,1000,12.88
ART-1007-NAV-M,ART-1007,Oversized Hoodie,Navy Blue,M,142,1000,42.91
ART-1007-NAV-L,ART-1007,Oversized Hoodie,Navy Blue,L,194,1000,37.99
ART-1007-NAV-XL,ART-1007,Oversized Hoodie,Navy Blue,XL,113,1000,18.13
ART-1007-OLI-XS,ART-1007,Oversized Hoodie,Olive Green,XS,118,1000,24.24
ART-1007-OLI-S,ART-1007,Oversized Hoodie,Olive Green,S,126,1000,32.53
ART-1007-OLI-M,ART-1007,Oversized Hoodie,Olive Green,M,140,1000,16.88
ART-1007-OLI-L,ART-1007,Oversized Hoodie,Olive Green,L,138,1000,35.55
ART-1007-OLI-XL,ART-1007,Oversized Hoodie,Olive Green,XL,197,1000,33.96
ART-1008-MID-XS,ART-1008,Cargo Pants,Midnight Black,XS,180,1000,26.32
ART-1008-MID-S,ART-1008,Cargo Pants,Midnight Black,S,172,1000,30.18
ART-1008-MID-M,ART-1008,Cargo Pants,Midnight Black,M,190,1000,12.54
ART-1008-MID-L,ART-1008,Cargo Pants,Midnight Black,L,183,1000,18.01
ART-1008-MID-XL,ART-1008,Cargo Pants,Midnight Black,XL,155,1000,18.63
ART-1008-CLA-XS,ART-1008,Cargo Pants,Classic White,XS,132,1000,42.27
ART-1008-CLA-S,ART-1008,Cargo Pants,Classic White,S,195,1000,32.35
ART-1008-CLA-M,ART-1008,Cargo Pants,Classic White,M,184,1000,18.78
ART-1008-CLA-L,ART-1008,Cargo Pants,Classic White,L,116,1000,42.73
ART-1008-CLA-XL,ART-1008,Cargo Pants,Classic White,XL,161,1000,43.26
ART-1008-NAV-XS,ART-1008,Cargo Pants,Navy Blue,XS,199,1000,44.59
ART-1008-NAV-S,ART-1008,Cargo Pants,Navy Blue,S,184,1000,16.66
ART-1008-NAV-M,ART-1008,Cargo Pants,Navy Blue,M,178,1000,43.96
ART-1008-NAV-L,ART-1008,Cargo Pants,Navy Blue,L,184,1000,15.26
ART-1008-NAV-XL,ART-1008,Cargo Pants,Navy Blue,XL,126,1000,39.41
ART-1008-OLI-XS,ART-1008,Cargo Pants,Olive Green,XS,136,1000,38.82
ART-1008-OLI-S,ART-1008,Cargo Pants,Olive Green,S,132,1000,30.6
ART-1008-OLI-M,ART-1008,Cargo Pants,Olive Green,M,182,1000,17.81
ART-1008-OLI-L,ART-1008,Cargo Pants,Olive Green,L,147,1000,42.23
ART-1008-OLI-XL,ART-1008,Cargo Pants,Olive Green,XL,169,1000,38.08
ART-1009-MID-XS,ART-1009,Summer Dress,Midnight Black,XS,180,1000,19.48
ART-1009-MID-S,ART-1009,Summer Dress,Midnight Black,S,110,1000,43.72
ART-1009-MID-M,ART-1009,Summer Dress,Midnight Black,M,102,1000,22.6
ART-1009-MID-L,ART-1009,Summer Dress,Midnight Black,L,100,1000,29.11
ART-1009-MID-XL,ART-1009,Summer Dress,Midnight Black,XL,119,1000,35.1
ART-1009-CLA-XS,ART-1009,Summer Dress,Classic White,XS,181,1000,19.03
ART-1009-CLA-S,ART-1009,Summer Dress,Classic White,S,115,1000,41.97
ART-1009-CLA-M,ART-1009,Summer Dress,Classic White,M,153,1000,34.76
ART-1009-CLA-L,ART-1009,Summer Dress,Classic White,L,190,1000,34.43
ART-1009-CLA-XL,ART-1009,Summer Dress,Classic White,XL,194,1000,41.18
ART-1009-NAV-XS,ART-1009,Summer Dress,Navy Blue,XS,170,1000,16.54
ART-1009-NAV-S,ART-1009,Summer Dress,Navy Blue,S,170,1000,25.35
ART-1009-NAV-M,ART-1009,Summer Dress,Navy Blue,M,106,1000,35.32
ART-1009-NAV-L,ART-1009,Summer Dress,Navy Blue,L,138,1000,21.2
ART-1009-NAV-XL,ART-1009,Summer Dress,Navy Blue,XL,164,1000,38.13
ART-1009-OLI-XS,ART-1009,Summer Dress,Olive Green,XS,126,1000,24.01
ART-1009-OLI-S,ART-1009,Summer Dress,Olive Green,S,127,1000,23.68
ART-1009-OLI-M,ART-1009,Summer Dress,Olive Green,M,120,1000,35.33
ART-1009-OLI-L,ART-1009,Summer Dress,Olive Green,L,170,1000,31.2
ART-1009-OLI-XL,ART-1009,Summer Dress,Olive Green,XL,200,1000,30.61
ART-1010-MID-XS,ART-1010,Oversized Hoodie,Midnight Black,XS,132,1000,35.62
ART-1010-MID-S,ART-1010,Oversized Hoodie,Midnight Black,S,171,1000,24.05
ART-1010-MID-M,ART-1010,Oversized Hoodie,Midnight Black,M,114,1000,38.47
ART-1010-MID-L,ART-1010,Oversized Hoodie,Midnight Black,L,170,1000,18.6
ART-1010-MID-XL,ART-1010,Oversized Hoodie,Midnight Black,XL,156,1000,22.27
ART-1010-CLA-XS,ART-1010,Oversized Hoodie,Classic White,XS,169,1000,14.27
ART-1010-CLA-S,ART-1010,Oversized Hoodie,Classic White,S,169,1000,21.7
ART-1010-CLA-M,ART-1010,Oversized Hoodie,Classic White,M,119,1000,12.32
ART-1010-CLA-L,ART-1010,Oversized Hoodie,Classic White,L,196,1000,20.95
ART-1010-CLA-XL,ART-1010,Oversized Hoodie,Classic White,XL,144,1000,14.03
ART-1010-NAV-XS,ART-1010,Oversized Hoodie,Navy Blue,XS,141,1000,38.68
ART-1010-NAV-S,ART-1010,Oversized Hoodie,Navy Blue,S,169,1000,28.91
ART-1010-NAV-M,ART-1010,Oversized Hoodie,Navy Blue,M,163,1000,42.89
ART-1010-NAV-L,ART-1010,Oversized Hoodie,Navy Blue,L,124,1000,35.59
ART-1010-NAV-XL,ART-1010,Oversized Hoodie,Navy Blue,XL,114,1000,30.8
ART-1010-OLI-XS,ART-1010,Oversized Hoodie,Olive Green,XS,163,1000,13.14
ART-1010-OLI-S,ART-1010,Oversized Hoodie,Olive Green,S,183,1000,31.63
ART-1010-OLI-M,ART-1010,Oversized Hoodie,Olive Green,M,145,1000,27.68
ART-1010-OLI-L,ART-1010,Oversized Hoodie,Olive Green,L,181,1000,15.16
ART-1010-OLI-XL,ART-1010,Oversized Hoodie,Olive Green,XL,108,1000,17.4
ART-1011-MID-XS,ART-1011,Graphic Tee,Midnight Black,XS,165,1000,35.11
ART-1011-MID-S,ART-1011,Graphic Tee,Midnight Black,S,113,1000,26.87
ART-1011-MID-M,ART-1011,Graphic Tee,Midnight Black,M,115,1000,41.09
ART-1011-MID-L,ART-1011,Graphic Tee,Midnight Black,L,129,1000,27.97
ART-1011-MID-XL,ART-1011,Graphic Tee,Midnight Black,XL,117,1000,40.23
ART-1011-CLA-XS,ART-1011,Graphic Tee,Classic White,XS,135,1000,41.95
ART-1011-CLA-S,ART-1011,Graphic Tee,Classic White,S,195,1000,35.25
ART-1011-CLA-M,ART-1011,Graphic Tee,Classic White,M,103,1000,40.44
ART-1011-CLA-L,ART-1011,Graphic Tee,Classic White,L,144,1000,19.7
ART-1011-CLA-XL,ART-1011,Graphic Tee,Classic White,XL,181,1000,18.24
ART-1011-NAV-XS,ART-1011,Graphic Tee,Navy Blue,XS,186,1000,41.59
ART-1011-NAV-S,ART-1011,Graphic Tee,Navy Blue,S,193,1000,14.67
ART-1011-NAV-M,ART-1011,Graphic Tee,Navy Blue,M,189,1000,43.01
ART-1011-NAV-L,ART-1011,Graphic Tee,Navy Blue,L,127,1000,32.28
ART-1011-NAV-XL,ART-1011,Graphic Tee,Navy Blue,XL,105,1000,44.3
ART-1011-OLI-XS,ART-1011,Graphic Tee,Olive Green,XS,104,1000,35.01
ART-1011-OLI-S,ART-1011,Graphic Tee,Olive Green,S,163,1000,29.93
ART-1011-OLI-M,ART-1011,Graphic Tee,Olive Green,M,167,1000,16.1
ART-1011-OLI-L,ART-1011,Graphic Tee,Olive Green,L,111,1000,42.71
ART-1011-OLI-XL,ART-1011,Graphic Tee,Olive Green,XL,186,1000,13.51
ART-1012-MID-XS,ART-1012,Slim Fit Denim,Midnight Black,XS,193,1000,29.52
ART-1012-MID-S,ART-1012,Slim Fit Denim,Midnight Black,S,154,1000,42.66
ART-1012-MID-M,ART-1012,Slim Fit Denim,Midnight Black,M,134,1000,19.12
ART-1012-MID-L,ART-1012,Slim Fit Denim,Midnight Black,L,132,1000,21.24
ART-1012-MID-XL,ART-1012,Slim Fit Denim,Midnight Black,XL,139,1000,33.2
ART-1012-CLA-XS,ART-1012,Slim Fit Denim,Classic White,XS,149,1000,31.48
ART-1012-CLA-S,ART-1012,Slim Fit Denim,Classic White,S,196,1000,15.62
ART-1012-CLA-M,ART-1012,Slim Fit Denim,Classic White,M,170,1000,18.2
ART-1012-CLA-L,ART-1012,Slim Fit Denim,Classic White,L,112,1000,22.84
ART-1012-CLA-XL,ART-1012,Slim Fit Denim,Classic White,XL,161,1000,25.91
ART-1012-NAV-XS,ART-1012,Slim Fit Denim,Navy Blue,XS,128,1000,39.12
ART-1012-NAV-S,ART-1012,Slim Fit Denim,Navy Blue,S,197,1000,25.67
ART-1012-NAV-M,ART-1012,Slim Fit Denim,Navy Blue,M,160,1000,16.47
ART-1012-NAV-L,ART-1012,Slim Fit Denim,Navy Blue,L,158,1000,13.33
ART-1012-NAV-XL,ART-1012,Slim Fit Denim,Navy Blue,XL,128,1000,16.68
ART-1012-OLI-XS,ART-1012,Slim Fit Denim,Olive Green,XS,132,1000,24.88
ART-1012-OLI-S,ART-1012,Slim Fit Denim,Olive Green,S,158,1000,14.79
ART-1012-OLI-M,ART-1012,Slim Fit Denim,Olive Green,M,139,1000,18.95
ART-1012-OLI-L,ART-1012,Slim Fit Denim,Olive Green,L,200,1000,33.4
ART-1012-OLI-XL,ART-1012,Slim Fit Denim,Olive Green,XL,106,1000,26.71
ART-1013-MID-XS,ART-1013,Graphic Tee,Midnight Black,XS,140,1000,32.78
ART-1013-MID-S,ART-1013,Graphic Tee,Midnight Black,S,171,1000,12.61
ART-1013-MID-M,ART-1013,Graphic Tee,Midnight Black,M,155,1000,32.63
ART-1013-MID-L,ART-1013,Graphic Tee,Midnight Black,L,138,1000,16.57
ART-1013-MID-XL,ART-1013,Graphic Tee,Midnight Black,XL,128,1000,42.6
ART-1013-CLA-XS,ART-1013,Graphic Tee,Classic White,XS,197,1000,44.02
ART-1013-CLA-S,ART-1013,Graphic Tee,Classic White,S,121,1000,35.71
ART-1013-CLA-M,ART-1013,Graphic Tee,Classic White,M,164,1000,18.9
ART-1013-CLA-L,ART-1013,Graphic Tee,Classic White,L,116,1000,27.87
ART-1013-CLA-XL,ART-1013,Graphic Tee,Classic White,XL,124,1000,44.27
ART-1013-NAV-XS,ART-1013,Graphic Tee,Navy Blue,XS,130,1000,42.44
ART-1013-NAV-S,ART-1013,Graphic Tee,Navy Blue,S,117,1000,34.77
ART-1013-NAV-M,ART-1013,Graphic Tee,Navy Blue,M,132,1000,43.34
ART-1013-NAV-L,ART-1013,Graphic Tee,Navy Blue,L,131,1000,31.28
ART-1013-NAV-XL,ART-1013,Graphic Tee,Navy Blue,XL,105,1000,37.92
ART-1013-OLI-XS,ART-1013,Graphic Tee,Olive Green,XS,104,1000,42.14
ART-1013-OLI-S,ART-1013,Graphic Tee,Olive Green,S,131,1000,39.44
ART-1013-OLI-M,ART-1013,Graphic Tee,Olive Green,M,192,1000,20.8
ART-1013-OLI-L,ART-1013,Graphic Tee,Olive Green,L,113,1000,30.92
ART-1013-OLI-XL,ART-1013,Graphic Tee,Olive Green,XL,109,1000,27.18
ART-1014-MID-XS,ART-1014,Slim Fit Denim,Midnight Black,XS,113,1000,18.85
ART-1014-MID-S,ART-1014,Slim Fit Denim,Midnight Black,S,110,1000,23.93
ART-1014-MID-M,ART-1014,Slim Fit Denim,Midnight Black,M,191,1000,25.11
ART-1014-MID-L,ART-1014,Slim Fit Denim,Midnight Black,L,124,1000,22.58
ART-1014-MID-XL,ART-1014,Slim Fit Denim,Midnight Black,XL,171,1000,42.67
ART-1014-CLA-XS,ART-1014,Slim Fit Denim,Classic White,XS,174,1000,16.36
ART-1014-CLA-S,ART-1014,Slim Fit Denim,Classic White,S,187,1000,44.23
ART-1014-CLA-M,ART-1014,Slim Fit Denim,Classic White,M,163,1000,30.63
ART-1014-CLA-L,ART-1014,Slim Fit Denim,Classic White,L,152,1000,31.99
ART-1014-CLA-XL,ART-1014,Slim Fit Denim,Classic White,XL,144,1000,18.11
ART-1014-NAV-XS,ART-1014,Slim Fit Denim,Navy Blue,XS,167,1000,36.88
ART-1014-NAV-S,ART-1014,Slim Fit Denim,Navy Blue,S,139,1000,44.02
ART-1014-NAV-M,ART-1014,Slim Fit Denim,Navy Blue,M,128,1000,15.55
ART-1014-NAV-L,ART-1014,Slim Fit Denim,Navy Blue,L,113,1000,26.97
ART-1014-NAV-XL,ART-1014,Slim Fit Denim,Navy Blue,XL,122,1000,36.88
ART-1014-OLI-XS,ART-1014,Slim Fit Denim,Olive Green,XS,184,1000,41.21
ART-1014-OLI-S,ART-1014,Slim Fit Denim,Olive Green,S,159,1000,41.38
ART-1014-OLI-M,ART-1014,Slim Fit Denim,Olive Green,M,174,1000,37.29
ART-1014-OLI-L,ART-1014,Slim Fit Denim,Olive Green,L,179,1000,44.39
ART-1014-OLI-XL,ART-1014,Slim Fit Denim,Olive Green,XL,193,1000,26.83
ART-1015-MID-XS,ART-1015,Slim Fit Denim,Midnight Black,XS,101,1000,17.26
ART-1015-MID-S,ART-1015,Slim Fit Denim,Midnight Black,S,105,1000,39.33
ART-1015-MID-M,ART-1015,Slim Fit Denim,Midnight Black,M,187,1000,32.29
ART-1015-MID-L,ART-1015,Slim Fit Denim,Midnight Black,L,107,1000,20.79
ART-1015-MID-XL,ART-1015,Slim Fit Denim,Midnight Black,XL,149,1000,16.51
ART-1015-CLA-XS,ART-1015,Slim Fit Denim,Classic White,XS,129,1000,15.66
ART-1015-CLA-S,ART-1015,Slim Fit Denim,Classic White,S,194,1000,16.36
ART-1015-CLA-M,ART-1015,Slim Fit Denim,Classic White,M,170,1000,40.09
ART-1015-CLA-L,ART-1015,Slim Fit Denim,Classic White,L,148,1000,32.24
ART-1015-CLA-XL,ART-1015,Slim Fit Denim,Classic White,XL,139,1000,39.76
ART-1015-NAV-XS,ART-1015,Slim Fit Denim,Navy Blue,XS,190,1000,37.95
ART-1015-NAV-S,ART-1015,Slim Fit Denim,Navy Blue,S,172,1000,30.62
ART-1015-NAV-M,ART-1015,Slim Fit Denim,Navy Blue,M,197,1000,44.75
ART-1015-NAV-L,ART-1015,Slim Fit Denim,Navy Blue,L,160,1000,39.73
ART-1015-NAV-XL,ART-1015,Slim Fit Denim,Navy Blue,XL,129,1000,15.55
ART-1015-OLI-XS,ART-1015,Slim Fit Denim,Olive Green,XS,101,1000,14.08
ART-1015-OLI-S,ART-1015,Slim Fit Denim,Olive Green,S,105,1000,29.13
ART-1015-OLI-M,ART-1015,Slim Fit Denim,Olive Green,M,120,1000,23.3
ART-1015-OLI-L,ART-1015,Slim Fit Denim,Olive Green,L,199,1000,22.9
ART-1015-OLI-XL,ART-1015,Slim Fit Denim,Olive Green,XL,116,1000,16.24
ART-1016-MID-XS,ART-1016,Cargo Pants,Midnight Black,XS,172,1000,14.19
ART-1016-MID-S,ART-1016,Cargo Pants,Midnight Black,S,178,1000,32.02
ART-1016-MID-M,ART-1016,Cargo Pants,Midnight Black,M,149,1000,30.62
ART-1016-MID-L,ART-1016,Cargo Pants,Midnight Black,L,130,1000,25.52
ART-1016-MID-XL,ART-1016,Cargo Pants,Midnight Black,XL,142,1000,28.5
ART-1016-CLA-XS,ART-1016,Cargo Pants,Classic White,XS,114,1000,13.03
ART-1016-CLA-S,ART-1016,Cargo Pants,Classic White,S,189,1000,29.21
ART-1016-CLA-M,ART-1016,Cargo Pants,Classic White,M,187,1000,21.04
ART-1016-CLA-L,ART-1016,Cargo Pants,Classic White,L,145,1000,43.42
ART-1016-CLA-XL,ART-1016,Cargo Pants,Classic White,XL,151,1000,43.57
ART-1016-NAV-XS,ART-1016,Cargo Pants,Navy Blue,XS,166,1000,42.72
ART-1016-NAV-S,ART-1016,Cargo Pants,Navy Blue,S,189,1000,39.36
